               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077621,            0.048124,            0.035422,           0.0032633,             0.97952,            0.026591,           0.0069762,            0.033955,            0.021952,            0.025371,              0.0757,              0.0027,              0.0027
                   1,            0.050355,            0.030576,            0.031171,             0.44425,             0.34812,             0.18441,            0.046722,            0.035684,            0.013152,            0.024471,            0.050446,           0.0054456,           0.0054456
                   2,            0.049454,            0.022205,            0.031407,             0.18648,             0.37661,             0.14429,            0.046507,            0.045043,           0.0088977,            0.023606,            0.025136,           0.0081357,           0.0081357
                   3,            0.050611,            0.017386,            0.031664,             0.29792,             0.71521,             0.32938,             0.14607,            0.031784,            0.008633,            0.023957,            0.009703,            0.009703,            0.009703
                   4,            0.045631,            0.016774,            0.029178,             0.29136,             0.43617,             0.31154,             0.15492,            0.028547,            0.010551,            0.023767,            0.009703,            0.009703,            0.009703
                   5,            0.040136,            0.014713,            0.031186,              0.2934,             0.71207,             0.38188,             0.21349,            0.030423,           0.0078885,            0.023375,            0.009604,            0.009604,            0.009604
                   6,            0.038345,            0.013238,            0.029791,             0.36266,             0.80711,             0.44928,             0.25848,            0.019485,           0.0086506,             0.02325,            0.009505,            0.009505,            0.009505
                   7,            0.035201,            0.012133,            0.029821,             0.32899,             0.85492,              0.3917,             0.15598,            0.026458,           0.0076138,            0.022856,            0.009406,            0.009406,            0.009406
                   8,            0.032564,            0.011999,            0.028202,              0.3236,             0.84605,             0.38327,             0.19873,            0.024986,           0.0073343,            0.022919,            0.009307,            0.009307,            0.009307
                   9,            0.030774,            0.011348,            0.027582,             0.35605,             0.96481,             0.47834,             0.28469,            0.020048,           0.0065723,            0.023032,            0.009208,            0.009208,            0.009208
                  10,            0.030709,            0.010836,            0.026988,              0.3551,             0.97665,             0.46304,             0.27952,            0.017897,           0.0061878,             0.02288,            0.009109,            0.009109,            0.009109
                  11,            0.031679,            0.010361,            0.030486,              0.3472,             0.93915,             0.47843,             0.27246,            0.018633,            0.006146,            0.022697,             0.00901,             0.00901,             0.00901
                  12,            0.030038,            0.010797,            0.028491,             0.35537,             0.93134,             0.48013,             0.27635,            0.017907,           0.0061796,            0.022636,            0.008911,            0.008911,            0.008911
                  13,            0.030804,            0.011138,            0.030754,             0.34803,             0.94554,              0.4642,             0.28891,            0.017588,           0.0062412,            0.022598,            0.008812,            0.008812,            0.008812
                  14,            0.025999,           0.0098865,            0.026194,             0.34996,             0.96826,             0.48912,             0.31421,            0.016329,           0.0063708,             0.02289,            0.008713,            0.008713,            0.008713
                  15,            0.035371,            0.010795,            0.033682,             0.34043,             0.93193,             0.50319,              0.2872,            0.019692,           0.0067466,            0.022478,            0.008614,            0.008614,            0.008614
                  16,            0.031784,           0.0098732,            0.029236,             0.36679,             0.92278,              0.5148,             0.29242,            0.018558,           0.0063791,            0.022512,            0.008515,            0.008515,            0.008515
                  17,            0.031458,            0.010682,            0.032382,             0.37665,             0.92904,             0.48357,             0.31453,            0.015926,           0.0059745,            0.022423,            0.008416,            0.008416,            0.008416
                  18,            0.026381,            0.010031,            0.028318,             0.36046,             0.91729,             0.53776,             0.32762,            0.017974,           0.0060639,             0.02219,            0.008317,            0.008317,            0.008317
                  19,            0.029131,             0.01031,            0.029553,             0.35453,             0.94897,             0.51471,             0.33003,             0.01628,           0.0059647,            0.022182,            0.008218,            0.008218,            0.008218
                  20,            0.026613,             0.01042,            0.029228,             0.36352,             0.92859,             0.49162,             0.32204,            0.015556,           0.0060018,            0.022385,            0.008119,            0.008119,            0.008119
                  21,            0.023336,           0.0095613,            0.027553,             0.37705,             0.96147,             0.49525,             0.31867,            0.016803,           0.0059104,            0.022346,             0.00802,             0.00802,             0.00802
                  22,            0.029426,            0.010265,            0.029383,             0.37592,             0.92853,             0.52792,             0.34059,            0.017055,           0.0059072,            0.022194,            0.007921,            0.007921,            0.007921
                  23,            0.028904,            0.010236,            0.029797,             0.39474,             0.89846,             0.55837,             0.36456,            0.016094,           0.0058345,            0.021198,            0.007822,            0.007822,            0.007822
                  24,             0.02637,           0.0098195,            0.029984,             0.42333,             0.88723,               0.582,             0.37538,             0.01629,           0.0058289,            0.021128,            0.007723,            0.007723,            0.007723
                  25,            0.024343,           0.0099646,            0.028451,              0.4824,             0.87334,             0.61593,             0.39738,            0.015639,           0.0058937,            0.020035,            0.007624,            0.007624,            0.007624
                  26,            0.026266,           0.0099799,            0.028577,             0.46575,             0.87802,             0.63642,             0.41955,            0.016246,           0.0058549,            0.018597,            0.007525,            0.007525,            0.007525
                  27,            0.031482,            0.010117,            0.030136,             0.51556,             0.86743,             0.73757,             0.46232,            0.018047,           0.0059071,            0.017392,            0.007426,            0.007426,            0.007426
                  28,            0.026099,           0.0095211,            0.026166,             0.59173,             0.88226,             0.78269,             0.46501,            0.016599,           0.0058794,            0.016814,            0.007327,            0.007327,            0.007327
                  29,            0.022817,            0.010063,            0.025044,             0.61013,             0.80414,             0.75808,             0.50049,            0.015788,           0.0058572,            0.015894,            0.007228,            0.007228,            0.007228
                  30,            0.021337,           0.0091981,            0.022462,             0.65456,             0.86182,              0.8238,             0.52174,            0.016134,           0.0057512,            0.014555,            0.007129,            0.007129,            0.007129
                  31,            0.025463,           0.0094901,             0.02277,              0.6192,             0.84659,             0.79596,             0.50358,            0.016743,           0.0058852,            0.014577,             0.00703,             0.00703,             0.00703
                  32,            0.025557,           0.0095483,            0.022226,             0.73299,             0.87164,             0.83611,             0.52292,            0.016856,           0.0057904,             0.01263,            0.006931,            0.006931,            0.006931
                  33,            0.026392,           0.0093418,            0.022554,             0.79642,              0.8669,             0.86858,             0.56929,            0.015918,           0.0058234,            0.012578,            0.006832,            0.006832,            0.006832
                  34,            0.024258,            0.010226,            0.018771,             0.85789,             0.82894,             0.88354,             0.57031,            0.016043,            0.005676,             0.01025,            0.006733,            0.006733,            0.006733
